STATE,year,type,race,sex,value
FL,2012,REFERRALAPPLICANTS,AMERICANINDIAN,MALE,6
FL,2012,REFERRALAPPLICANTS,ASIAN,FEMALE,
FL,2012,REFERRALAPPLICANTS,ASIAN,MALE,14
FL,2012,REFERRALAPPLICANTS,BLACK,FEMALE,28
FL,2012,REFERRALAPPLICANTS,BLACK,MALE,2102
FL,2012,REFERRALAPPLICANTS,HISPANIC,FEMALE,62
FL,2012,REFERRALAPPLICANTS,HISPANIC,MALE,490
FL,2012,REFERRALAPPLICANTS,WHITE,FEMALE,133
FL,2012,REFERRALAPPLICANTS,WHITE,MALE,2265
FL,2012,REFERRALS,AMERICANINDIAN,FEMALE,
FL,2012,REFERRALS,AMERICANINDIAN,MALE,29
FL,2012,REFERRALS,ASIAN,FEMALE,
FL,2012,REFERRALS,ASIAN,MALE,33
FL,2012,REFERRALS,BLACK,FEMALE,55
FL,2012,REFERRALS,BLACK,MALE,2393
FL,2012,REFERRALS,HISPANIC,FEMALE,220
FL,2012,REFERRALS,HISPANIC,MALE,1955
FL,2012,REFERRALS,WHITE,FEMALE,427
FL,2012,REFERRALS,WHITE,MALE,4858
FL,2012,REFERRED,AMERICANINDIAN,FEMALE,
FL,2012,REFERRED,AMERICANINDIAN,MALE,9
FL,2012,REFERRED,ASIAN,FEMALE,
